"","Sample","Time","Treatment","Replicate","Acidobacteria","Actinobacteria","Armatimonadetes","BRC1","Bacteroidetes","Candidatus_Saccharibacteria","Chlamydiae","Chloroflexi","Cyanobacteria","Firmicutes","Gemmatimonadetes","Latescibacteria","Nitrospirae","Planctomycetes","Proteobacteria","Spirochaetes","Thaumarchaeota","Unassigned","Verrucomicrobia","candidate_division_WPS-1","candidate_division_WPS-2"
"48","2020.6_Warming_6","2020.6","Warming","6",0.137730540793997,0.231947483588621,0.000687714910909659,6.25195373554236e-05,0.0369490465770553,0.00112535167239762,0,0.00218818380743982,6.25195373554236e-05,0.00581431697405439,0.00656455142231948,0.00381369177868084,0.00712722725851829,0.018005626758362,0.250453266645826,0,0.0275711159737418,0.107033447952485,0.159674898405752,0.0031884964051266,0
"49","2020.9_Control_1","2020.9","Control","1",0.134979681150359,0.290528290090652,0.000750234448265083,0.000125039074710847,0.0279462331978743,0.00100031259768678,0,0.0023757424195061,0,0.0103157236636449,0.00225070334479525,0.000750234448265083,0.00387621131603626,0.0201938105658018,0.219005939356048,0,0.0309471709909347,0.101031572366364,0.151297280400125,0.00262582056892779,0
"50","2020.9_Control_2","2020.9","Control","2",0.17730540793998,0.267833698030634,0.000750234448265083,0,0.0230697092841513,0.00168802750859644,6.25195373554236e-05,0.0023757424195061,0,0.024507658643326,0.00375117224132542,0.00175054704595186,0.00325101594248203,0.0213816817755549,0.190121913097842,0,0.0347608627696155,0.0806502031884962,0.163488590184432,0.00312597686777118,0.000125039074710847
"51","2020.9_Control_3","2020.9","Control","3",0.185557986870896,0.290403251015941,0.00100031259768678,6.25195373554236e-05,0.0404501406689589,0.0021256642700844,0,0.00206314473272898,6.25195373554236e-05,0.00819005939356049,0.00362613316661457,0.00250078149421694,0.00287589871834948,0.0226945920600188,0.245514223194747,0,0.0235073460456393,0.0717099093466706,0.0942794623319786,0.00337605501719287,0
"52","2020.9_Control_4","2020.9","Control","4",0.131916223819943,0.301281650515785,0.000937793060331354,0,0.0293841825570491,0.000937793060331354,0,0.00156298843388559,0,0.00906533291653642,0.00456392622694592,0.0010628321350422,0.00368865270396999,0.017567989996874,0.244951547358548,0,0.020068771491091,0.0963426070647074,0.133979368552672,0.00262582056892779,6.25195373554236e-05
"53","2020.9_Control_5","2020.9","Control","5",0.204251328540168,0.262019381056579,0.000625195373554236,0,0.03469834323226,0.00112535167239762,6.25195373554236e-05,0.00256330103157237,6.25195373554236e-05,0.00406376992810253,0.00368865270396999,0.00150046889653017,0.0023757424195061,0.0238199437324164,0.225445451703656,0,0.0239449828071272,0.066895904970303,0.138543294779618,0.0042513285401688,6.25195373554236e-05
"54","2020.9_Control_6","2020.9","Control","6",0.206752110034385,0.24738980931541,0.000500156298843389,0,0.0433260393873085,0.00125039074710847,0,0.0013129102844639,6.25195373554236e-05,0.00587683651140982,0.00306345733041576,0.00175054704595186,0.00306345733041575,0.0307596123788684,0.21638011878712,0,0.0185057830572054,0.0587058455767426,0.157299155986245,0.00400125039074711,0
"55","2020.9_Warming_1","2020.9","Warming","1",0.196373866833385,0.238386995936229,0.000312597686777118,0,0.0271959987496093,0.000562675836198812,6.25195373554236e-05,0.00206314473272898,0,0.00418880900281338,0.0034385745545483,0.00262582056892779,0.00443888715223507,0.0207564864020006,0.19574867145983,0,0.0555173491716161,0.0763988746483273,0.170178180681463,0.00175054704595186,0
"56","2020.9_Warming_2","2020.9","Warming","2",0.150859643638637,0.278211941231634,0.000250078149421694,6.25195373554236e-05,0.0210065645514223,0.00100031259768678,0.000250078149421694,0.00181306658330728,6.25195373554236e-05,0.00618943419818694,0.00306345733041576,0.00181306658330728,0.00337605501719287,0.0183807439824945,0.185432947796186,0,0.0232572678962176,0.0708971553610501,0.229946858393248,0.00406376992810253,6.25195373554236e-05
"57","2020.9_Warming_3","2020.9","Warming","3",0.16761487964989,0.268333854329477,6.25195373554236e-05,6.25195373554236e-05,0.0295092216317599,0.000562675836198812,0.000125039074710847,0.00181306658330728,6.25195373554236e-05,0.00781494216942795,0.00306345733041576,0.0013129102844639,0.00325101594248203,0.0250703344795248,0.23482338230697,0,0.0406376992810253,0.0773366677086587,0.135292278837136,0.00325101594248203,0
